Symptom,Disease,Advice,Medicine,Workout
Lightheadedness,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Aerobic workouts
Vomiting,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Breathing exercises
Depression,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Massage therapy
Weakness,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Yoga & meditation
Slow Healing Wounds,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Light walking
Vision Problems,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Steam inhalation
Constipation,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Light stretching
Fever,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Physiotherapy
Swollen Lymph Nodes,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Muscle relaxation
Brittle Nails,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Massage therapy
Heart Palpitations,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Cardio exercises
Ear Pain,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Dietary adjustments
Swelling,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Aerobic workouts
Skin Itching,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Dietary adjustments
Vomiting,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Yoga & meditation
Ear Pain,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Aerobic workouts
Cold Hands,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Dietary adjustments
Chest Pain,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Light stretching
Weight Gain,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Eye exercises
Sore Throat,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Dietary adjustments
Knee Pain,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Massage therapy
Chest Pain,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Aerobic workouts
Blurred Vision,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Dietary adjustments
Diarrhea,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Yoga & meditation
Vomiting,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Steam inhalation
Memory Loss,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Light stretching
Fever,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Steam inhalation
Depression,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Cardio exercises
Lightheadedness,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Light walking
Vision Problems,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Rest for 2-3 days
Back Pain,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Light walking
Weakness,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Regular exercise
Dark Urine,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Dietary adjustments
Vision Problems,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Massage therapy
Constipation,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Aerobic workouts
Dry Skin,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Muscle relaxation
Dark Urine,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Muscle relaxation
Fatigue,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Light stretching
Brittle Nails,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Steam inhalation
Nosebleeds,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Aerobic workouts
Vision Problems,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Cardio exercises
Chest Pain,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Muscle relaxation
Cough,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Muscle relaxation
Depression,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Massage therapy
Swelling,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Regular exercise
Muscle Cramps,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Aerobic workouts
Swelling,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Steam inhalation
Dizziness,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Aerobic workouts
Depression,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Eye exercises
Joint Pain,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Regular exercise
Heart Palpitations,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Dietary adjustments
Runny Nose,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Regular exercise
Night Sweats,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Cardio exercises
Weight Gain,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Muscle relaxation
Cold Hands,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Rest for 2-3 days
Heart Palpitations,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Strength training
Joint Pain,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Yoga & meditation
Blurred Vision,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Dietary adjustments
Weakness,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Cardio exercises
Cold Hands,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Strength training
Eye Irritation,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Yoga & meditation
Vomiting,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Steam inhalation
Heart Palpitations,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Yoga & meditation
Swollen Lymph Nodes,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Breathing exercises
Weight Loss,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Cardio exercises
Heart Palpitations,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Strength training
Muscle Cramps,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Steam inhalation
Weakness,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Breathing exercises
High Blood Pressure,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Light walking
Low Blood Sugar,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Muscle relaxation
Blurred Vision,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Cardio exercises
Knee Pain,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Physiotherapy
Back Pain,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Massage therapy
Lightheadedness,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Muscle relaxation
Chest Pain,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Aerobic workouts
Weight Gain,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Light walking
Slow Healing Wounds,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Yoga & meditation
Cold Hands,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Strength training
Hair Loss,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Yoga & meditation
Stomach Pain,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Eye exercises
High Blood Pressure,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Aerobic workouts
Dark Urine,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Light stretching
Dizziness,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Dietary adjustments
Numbness,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Yoga & meditation
Tingling Sensation,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Massage therapy
Tingling Sensation,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Physiotherapy
Hair Loss,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Strength training
Nosebleeds,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Light stretching
Frequent Urination,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Aerobic workouts
Shortness of Breath,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Steam inhalation
Insomnia,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Eye exercises
Hair Loss,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Strength training
Weight Gain,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Eye exercises
Ear Pain,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Aerobic workouts
Vomiting,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Breathing exercises
